ID,Name,Uses Slot,Prerequisite ID,Platform,Type,Fleet Manual,Creator,3D Artist,2D Artist,Date released,Date updated,Number of craft,Custom cockpit,# Reviews,# Bugs,# Usages
48,Imperial Research Ship,39,8,X-Wing vs. TIE Fighter,Capship,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,No,0,1,0
49,Imperial Shuttle Pod Mk.VI,11,8,X-Wing vs. TIE Fighter,Utility,Fleet Manual #90,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,Yes,0,0,1
50,Imperial II-class Star Destroyer,31,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #142,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,No,0,0,1
51,Imperial Troop Transport,31,8,X-Wing vs. TIE Fighter,Transport,Fleet Manual #103,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,3/28/2009,1,No,0,0,1
52,Industrial Complex,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #84,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,No,0,0,1
53,Interceptor Enforcement Ship,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #102,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2012,1,Yes,1,1,3
54,K-Wing,11,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,unknown,unknown,2/18/2009,10/31/2013,1,No,0,0,4
55,Lancer-class Frigate,31,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #153,HA Ender mBind,CPT Tim,CPT Tim,2/18/2009,10/31/2013,1,No,0,1,1
56,Luxury Yacht 3000,39,8,X-Wing vs. TIE Fighter,Transport,Fleet Manual #27,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,No,0,0,0
57,Marauder-class Corvette,31,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #117,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,No,0,0,2
58,MC80a Calamari Cruiser,39,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #149,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,No,0,0,1
